IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.214.62,8443,8443,true,NRT,Asia Pacific,Tokyo,112,10.81
158.179.181.107,2095,2095,false,HKG,Asia Pacific,Hong Kong,142,10.80
132.226.200.28,443,443,true,FRA,Europe,Frankfurt,178,10.80
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,178,10.79
150.230.199.118,2086,2086,false,HKG,Asia Pacific,Hong Kong,188,10.78
89.168.70.88,443,443,true,CDG,Europe,Paris,173,10.78
158.101.158.238,80,80,false,HKG,Asia Pacific,Hong Kong,147,10.78
158.101.208.64,443,443,true,FRA,Europe,Frankfurt,186,10.77
141.144.231.12,443,443,true,FRA,Europe,Frankfurt,189,10.77
158.101.155.115,8080,8080,false,HKG,Asia Pacific,Hong Kong,138,10.76
158.101.155.158,2095,2095,false,SIN,Asia Pacific,Singapore,148,10.76
150.230.212.213,2082,2082,false,HKG,Asia Pacific,Hong Kong,147,10.76
150.230.200.210,2095,2095,false,HKG,Asia Pacific,Hong Kong,158,10.75
144.21.62.120,443,443,true,FRA,Europe,Frankfurt,181,10.74
158.101.137.96,80,80,false,NRT,Asia Pacific,Tokyo,80,10.74
155.248.176.68,2052,2052,false,HKG,Asia Pacific,Hong Kong,144,10.74
168.138.200.155,2095,2095,false,HKG,Asia Pacific,Hong Kong,147,10.70
158.101.155.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,141,10.70
132.145.126.21,80,80,false,NRT,Asia Pacific,Tokyo,81,10.69
158.179.183.2,8880,8880,false,HKG,Asia Pacific,Hong Kong,144,10.68
141.144.207.234,443,443,true,FRA,Europe,Frankfurt,170,10.67
150.230.196.73,2095,2095,false,HKG,Asia Pacific,Hong Kong,153,10.67
141.147.189.23,2087,2087,true,HKG,Asia Pacific,Hong Kong,140,10.66
132.145.127.21,8080,8080,false,NRT,Asia Pacific,Tokyo,89,10.65
168.138.206.109,80,80,false,NRT,Asia Pacific,Tokyo,121,10.65
158.179.176.239,8880,8880,false,NRT,Asia Pacific,Tokyo,83,10.65
193.123.60.248,443,443,true,FRA,Europe,Frankfurt,185,10.65
141.147.52.200,443,443,true,FRA,Europe,Frankfurt,191,10.65
150.230.101.125,2096,2096,true,HKG,Asia Pacific,Hong Kong,190,10.64
151.145.75.28,2096,2096,true,NRT,Asia Pacific,Tokyo,138,10.64
158.101.222.121,443,443,true,AMS,Europe,Amsterdam,171,10.63
141.147.20.142,443,443,true,FRA,Europe,Frankfurt,177,10.63
158.101.148.221,2095,2095,false,HKG,Asia Pacific,Hong Kong,140,10.63
152.70.106.13,8443,8443,true,NRT,Asia Pacific,Tokyo,95,10.63
151.145.71.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,149,10.62
141.147.108.240,443,443,true,FRA,Europe,Frankfurt,171,10.62
141.147.189.242,2053,2053,true,HKG,Asia Pacific,Hong Kong,144,10.61
151.145.66.219,2096,2096,true,NRT,Asia Pacific,Tokyo,97,10.60
193.123.35.115,443,443,true,FRA,Europe,Frankfurt,201,10.58
141.148.232.49,443,443,true,FRA,Europe,Frankfurt,202,10.57
141.147.191.132,8880,8880,false,HKG,Asia Pacific,Hong Kong,152,10.56
158.101.143.49,2095,2095,false,NRT,Asia Pacific,Tokyo,77,10.56
141.144.205.130,443,443,true,FRA,Europe,Frankfurt,193,10.56
168.138.196.164,8080,8080,false,HKG,Asia Pacific,Hong Kong,141,10.55
155.248.160.116,2087,2087,true,NRT,Asia Pacific,Tokyo,90,10.54
141.147.191.211,8880,8880,false,HKG,Asia Pacific,Hong Kong,144,10.54
132.145.123.14,2096,2096,true,NRT,Asia Pacific,Tokyo,77,10.54
138.2.141.251,443,443,true,SIN,Asia Pacific,Singapore,206,10.53
141.147.36.11,443,443,true,FRA,Europe,Frankfurt,174,10.53
155.248.166.141,2052,2052,false,HKG,Asia Pacific,Hong Kong,142,10.51
141.144.199.163,443,443,true,FRA,Europe,Frankfurt,169,10.51
144.21.34.19,443,443,true,FRA,Europe,Frankfurt,168,10.51
158.101.146.165,2052,2052,false,SIN,Asia Pacific,Singapore,152,10.51
152.67.139.234,443,443,true,FRA,Europe,Frankfurt,176,10.49
144.21.52.86,443,443,true,FRA,Europe,Frankfurt,197,10.48
150.230.204.117,8880,8880,false,SIN,Asia Pacific,Singapore,151,10.47
158.179.180.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,175,10.46
138.2.165.153,443,443,true,FRA,Europe,Frankfurt,163,10.45
150.230.20.157,443,443,true,FRA,Europe,Frankfurt,181,10.45
141.144.204.184,443,443,true,FRA,Europe,Frankfurt,159,10.44
150.230.97.239,2052,2052,false,NRT,Asia Pacific,Tokyo,80,10.44
138.2.31.68,2095,2095,false,HKG,Asia Pacific,Hong Kong,139,10.44
158.178.246.169,2052,2052,false,SIN,Asia Pacific,Singapore,12,10.44
158.101.142.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,149,10.43
150.230.101.125,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,10.42
141.147.189.242,2095,2095,false,HKG,Asia Pacific,Hong Kong,140,10.42
168.138.214.62,2053,2053,true,NRT,Asia Pacific,Tokyo,84,10.41
151.145.68.166,8880,8880,false,HKG,Asia Pacific,Hong Kong,160,10.41
155.248.162.160,8443,8443,true,HKG,Asia Pacific,Hong Kong,146,10.40
130.162.253.80,443,443,true,FRA,Europe,Frankfurt,165,10.40
158.101.88.214,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,10.40
141.145.199.188,443,443,true,CDG,Europe,Paris,161,10.38
141.147.185.149,2052,2052,false,NRT,Asia Pacific,Tokyo,81,10.35
150.230.221.114,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,10.34
155.248.180.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,147,10.33
158.101.220.203,443,443,true,FRA,Europe,Frankfurt,204,10.32
168.138.215.188,2096,2096,true,NRT,Asia Pacific,Tokyo,118,10.31
158.101.68.100,2082,2082,false,HKG,Asia Pacific,Hong Kong,146,10.30
150.230.202.132,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,10.30
158.101.69.12,2083,2083,true,NRT,Asia Pacific,Tokyo,85,10.30
150.230.212.213,2052,2052,false,HKG,Asia Pacific,Hong Kong,141,10.29
151.145.65.8,80,80,false,NRT,Asia Pacific,Tokyo,77,10.29
155.248.185.38,2086,2086,false,HKG,Asia Pacific,Hong Kong,138,10.29
168.138.211.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,171,10.28
138.2.20.230,80,80,false,HKG,Asia Pacific,Hong Kong,144,10.28
138.2.18.11,2086,2086,false,HKG,Asia Pacific,Hong Kong,153,10.28
151.145.65.203,8080,8080,false,SIN,Asia Pacific,Singapore,158,10.27
150.230.219.83,8080,8080,false,LAX,North America,Los Angeles,183,10.27
141.147.189.23,8880,8880,false,HKG,Asia Pacific,Hong Kong,147,10.27
151.145.75.28,2053,2053,true,NRT,Asia Pacific,Tokyo,98,10.26
138.2.31.68,2082,2082,false,HKG,Asia Pacific,Hong Kong,135,10.26
141.147.185.149,8880,8880,false,SIN,Asia Pacific,Singapore,164,10.25
146.235.214.73,443,443,true,SJC,North America,San Jose,189,10.25
141.147.42.146,443,443,true,AMS,Europe,Amsterdam,153,10.25
144.21.32.193,2053,443,true,AMS,Europe,Amsterdam,202,10.24
138.2.14.248,2095,2095,false,HKG,Asia Pacific,Hong Kong,139,10.24
141.144.200.227,443,443,true,FRA,Europe,Frankfurt,190,10.23
158.101.90.190,2096,2096,true,NRT,Asia Pacific,Tokyo,85,10.23
158.101.140.255,8080,8080,false,HKG,Asia Pacific,Hong Kong,144,10.23
150.230.216.117,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.23
141.147.189.242,8080,8080,false,HKG,Asia Pacific,Hong Kong,153,10.22
151.145.69.174,8080,8080,false,HKG,Asia Pacific,Hong Kong,140,10.22
141.144.205.179,443,443,true,FRA,Europe,Frankfurt,202,10.22
150.230.192.173,8880,8880,false,HKG,Asia Pacific,Hong Kong,143,10.22
141.144.204.27,8443,443,true,AMS,Europe,Amsterdam,185,10.21
138.3.214.43,2082,2082,false,HKG,Asia Pacific,Hong Kong,156,10.20
150.230.108.135,2096,2096,true,HKG,Asia Pacific,Hong Kong,244,10.20
152.70.168.238,443,443,true,FRA,Europe,Frankfurt,187,10.20
155.248.180.57,8880,8880,false,HKG,Asia Pacific,Hong Kong,141,10.19
138.2.18.11,80,80,false,HKG,Asia Pacific,Hong Kong,147,10.19
155.248.185.38,8080,8080,false,HKG,Asia Pacific,Hong Kong,148,10.19
158.101.206.70,8443,443,true,AMS,Europe,Amsterdam,198,10.19
138.3.223.70,2087,2087,true,NRT,Asia Pacific,Tokyo,83,10.18
168.138.209.244,2083,2083,true,NRT,Asia Pacific,Tokyo,128,10.18
158.101.88.214,2095,2095,false,HKG,Asia Pacific,Hong Kong,148,10.18
150.230.196.73,80,80,false,HKG,Asia Pacific,Hong Kong,149,10.18
155.248.178.235,80,80,false,NRT,Asia Pacific,Tokyo,75,10.17
150.230.99.173,2083,2083,true,HKG,Asia Pacific,Hong Kong,209,10.17
150.230.98.39,8443,8443,true,NRT,Asia Pacific,Tokyo,75,10.17
144.24.179.179,443,443,true,FRA,Europe,Frankfurt,177,10.16
129.153.119.97,443,443,true,LAX,North America,Los Angeles,208,10.16
141.148.236.234,443,443,true,FRA,Europe,Frankfurt,181,10.16
158.101.148.221,2052,2052,false,HKG,Asia Pacific,Hong Kong,140,10.15
193.122.13.231,443,443,true,FRA,Europe,Frankfurt,169,10.15
138.2.13.200,2082,2082,false,HKG,Asia Pacific,Hong Kong,153,10.15
132.145.127.51,8080,8080,false,SIN,Asia Pacific,Singapore,154,10.15
141.147.186.210,8880,8880,false,HKG,Asia Pacific,Hong Kong,152,10.15
150.230.106.21,2086,2086,false,HKG,Asia Pacific,Hong Kong,148,10.15
158.101.131.218,8880,8880,false,HKG,Asia Pacific,Hong Kong,197,10.15
138.2.10.251,8880,8880,false,HKG,Asia Pacific,Hong Kong,148,10.14
144.24.189.188,443,443,true,FRA,Europe,Frankfurt,193,10.13
141.147.189.23,2086,2086,false,HKG,Asia Pacific,Hong Kong,144,10.13
168.138.209.244,2053,2053,true,NRT,Asia Pacific,Tokyo,111,10.12
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,180,10.12
138.2.14.209,2087,2087,true,LAX,North America,Los Angeles,209,10.11
138.2.18.11,2095,2095,false,HKG,Asia Pacific,Hong Kong,142,10.11
158.101.68.100,2052,2052,false,HKG,Asia Pacific,Hong Kong,155,10.10
138.2.18.11,2096,2096,true,HKG,Asia Pacific,Hong Kong,218,10.09
155.248.167.70,2052,2052,false,HKG,Asia Pacific,Hong Kong,144,10.09
155.248.180.57,80,80,false,HKG,Asia Pacific,Hong Kong,145,10.08
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,176,10.07
151.145.68.104,80,80,false,HKG,Asia Pacific,Hong Kong,153,10.07
144.24.191.198,443,443,true,FRA,Europe,Frankfurt,198,10.07
138.2.13.200,2095,2095,false,HKG,Asia Pacific,Hong Kong,141,10.07
158.101.146.165,8080,8080,false,HKG,Asia Pacific,Hong Kong,147,10.07
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,189,10.03
168.138.211.217,2083,2083,true,NRT,Asia Pacific,Tokyo,100,10.03
150.230.202.132,2052,2052,false,LAX,North America,Los Angeles,187,10.03
155.248.160.116,8443,8443,true,NRT,Asia Pacific,Tokyo,78,10.03
150.230.107.197,80,80,false,HKG,Asia Pacific,Hong Kong,144,10.03
138.2.14.164,2082,2082,false,HKG,Asia Pacific,Hong Kong,144,10.02
150.230.201.162,2052,2052,false,HKG,Asia Pacific,Hong Kong,139,10.02
138.2.150.135,443,443,true,FRA,Europe,Frankfurt,162,10.01
158.101.178.74,443,443,true,FRA,Europe,Frankfurt,170,10.01
141.147.185.149,2086,2086,false,HKG,Asia Pacific,Hong Kong,150,9.99
141.144.236.246,443,443,true,FRA,Europe,Frankfurt,204,9.96
144.24.182.213,443,443,true,FRA,Europe,Frankfurt,186,9.95
151.145.74.56,2086,2086,false,HKG,Asia Pacific,Hong Kong,142,9.95
138.2.18.11,2052,2052,false,HKG,Asia Pacific,Hong Kong,157,9.94
158.101.149.71,2052,2052,false,NRT,Asia Pacific,Tokyo,76,9.94
138.2.13.200,2086,2086,false,HKG,Asia Pacific,Hong Kong,151,9.93
138.2.31.68,2087,2087,true,HKG,Asia Pacific,Hong Kong,151,9.93
168.138.205.195,80,80,false,NRT,Asia Pacific,Tokyo,92,9.91
89.168.127.49,443,443,true,FRA,Europe,Frankfurt,179,9.91
141.148.239.128,443,443,true,FRA,Europe,Frankfurt,159,9.91
141.147.186.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,142,9.90
150.230.101.125,2052,2052,false,HKG,Asia Pacific,Hong Kong,144,9.90
138.2.179.26,443,443,true,FRA,Europe,Frankfurt,153,9.89
168.138.212.74,8080,8080,false,SIN,Asia Pacific,Singapore,168,9.88
158.179.176.239,8080,8080,false,SIN,Asia Pacific,Singapore,168,9.87
132.145.123.112,8080,8080,false,HKG,Asia Pacific,Hong Kong,140,9.87
151.145.71.40,2087,2087,true,NRT,Asia Pacific,Tokyo,93,9.86
141.147.186.210,2087,2087,true,NRT,Asia Pacific,Tokyo,77,9.86
155.248.163.133,8880,8880,false,HKG,Asia Pacific,Hong Kong,155,9.86
141.147.186.210,80,80,false,HKG,Asia Pacific,Hong Kong,143,9.86
155.248.174.71,2087,2087,true,NRT,Asia Pacific,Tokyo,85,9.85
158.101.147.4,2095,2095,false,LAX,North America,Los Angeles,188,9.85
150.230.105.228,2095,2095,false,HKG,Asia Pacific,Hong Kong,137,9.85
158.101.84.123,2052,2052,false,NRT,Asia Pacific,Tokyo,83,9.84
193.123.38.147,443,443,true,FRA,Europe,Frankfurt,191,9.83
151.145.69.174,2095,2095,false,HKG,Asia Pacific,Hong Kong,189,9.83
150.230.105.228,2083,2083,true,HKG,Asia Pacific,Hong Kong,200,9.83
138.2.10.251,2095,2095,false,HKG,Asia Pacific,Hong Kong,153,9.83
168.138.215.188,2053,2053,true,NRT,Asia Pacific,Tokyo,103,9.83
168.138.214.62,2052,2052,false,NRT,Asia Pacific,Tokyo,78,9.82
150.230.217.63,2052,2052,false,HKG,Asia Pacific,Hong Kong,144,9.82
150.230.204.117,80,80,false,HKG,Asia Pacific,Hong Kong,151,9.80
144.21.36.89,443,443,true,FRA,Europe,Frankfurt,193,9.79
158.101.81.4,2086,2086,false,HKG,Asia Pacific,Hong Kong,143,9.79
150.230.101.13,8080,8080,false,HKG,Asia Pacific,Hong Kong,142,9.79
168.138.211.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,183,9.78
141.147.191.211,80,80,false,HKG,Asia Pacific,Hong Kong,187,9.78
155.248.174.71,8443,8443,true,NRT,Asia Pacific,Tokyo,86,9.78
130.162.49.163,443,443,true,FRA,Europe,Frankfurt,177,9.78
150.230.214.218,2086,2086,false,HKG,Asia Pacific,Hong Kong,142,9.77
150.230.216.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,9.76
150.230.123.78,443,443,true,FRA,Europe,Frankfurt,176,9.75
158.101.152.221,2082,2082,false,HKG,Asia Pacific,Hong Kong,189,9.75
141.147.185.149,2087,2087,true,HKG,Asia Pacific,Hong Kong,143,9.75
151.145.74.199,8080,8080,false,HKG,Asia Pacific,Hong Kong,151,9.74
138.2.21.31,2082,2082,false,HKG,Asia Pacific,Hong Kong,144,9.73
141.147.186.210,2096,2096,true,LAX,North America,Los Angeles,180,9.73
158.101.213.149,443,443,true,FRA,Europe,Frankfurt,170,9.72
151.145.75.28,2087,2087,true,NRT,Asia Pacific,Tokyo,108,9.71
138.2.13.200,2052,2052,false,HKG,Asia Pacific,Hong Kong,147,9.71
168.138.212.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,195,9.70
150.230.208.83,2086,2086,false,HKG,Asia Pacific,Hong Kong,146,9.70
158.101.149.122,8080,8080,false,HKG,Asia Pacific,Hong Kong,162,9.70
141.147.60.100,443,443,true,FRA,Europe,Frankfurt,153,9.68
151.145.68.166,80,80,false,HKG,Asia Pacific,Hong Kong,158,9.68
151.145.74.199,2095,2095,false,HKG,Asia Pacific,Hong Kong,138,9.68
158.101.147.4,2053,2053,true,HKG,Asia Pacific,Hong Kong,166,9.67
138.2.6.15,8080,8080,false,HKG,Asia Pacific,Hong Kong,141,9.67
155.248.180.57,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,9.65
138.2.29.250,2095,2095,false,HKG,Asia Pacific,Hong Kong,192,9.65
141.147.22.193,443,443,true,FRA,Europe,Frankfurt,184,9.64
138.2.25.122,2083,2083,true,NRT,Asia Pacific,Tokyo,98,9.64
141.148.236.228,443,443,true,FRA,Europe,Frankfurt,172,9.63
158.101.137.96,2087,2087,true,NRT,Asia Pacific,Tokyo,128,9.63
155.248.182.244,8880,8880,false,HKG,Asia Pacific,Hong Kong,148,9.62
150.230.216.34,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,9.62
168.138.208.164,2087,2087,true,HKG,Asia Pacific,Hong Kong,171,9.61
150.230.109.138,2052,2052,false,HKG,Asia Pacific,Hong Kong,154,9.61
150.230.99.173,2086,2086,false,SIN,Asia Pacific,Singapore,155,9.60
150.230.196.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,145,9.60
168.138.209.84,2095,2095,false,HKG,Asia Pacific,Hong Kong,138,9.60
84.235.165.124,443,443,true,FRA,Europe,Frankfurt,170,9.60
150.230.109.138,80,80,false,HKG,Asia Pacific,Hong Kong,143,9.58
151.145.68.104,2052,2052,false,HKG,Asia Pacific,Hong Kong,140,9.58
151.145.75.28,2083,2083,true,NRT,Asia Pacific,Tokyo,83,9.58
158.101.207.105,443,443,true,SIN,Asia Pacific,Singapore,195,9.58
140.238.41.167,2053,0,true,SIN,Asia Pacific,Singapore,162,9.58
130.162.162.176,443,443,true,LHR,Europe,London,197,9.57
155.248.176.28,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,9.57
155.248.176.98,80,80,false,HKG,Asia Pacific,Hong Kong,144,9.55
168.138.197.222,8080,8080,false,HKG,Asia Pacific,Hong Kong,140,9.54
141.147.104.54,443,443,true,FRA,Europe,Frankfurt,173,9.54
138.2.10.251,2082,2082,false,LAX,North America,Los Angeles,186,9.54
158.101.65.24,2095,2095,false,HKG,Asia Pacific,Hong Kong,155,9.54
138.2.150.74,443,443,true,FRA,Europe,Frankfurt,191,9.54
138.3.216.67,2083,2083,true,NRT,Asia Pacific,Tokyo,233,9.54
141.147.185.149,80,80,false,HKG,Asia Pacific,Hong Kong,150,9.53
150.230.108.135,2083,2083,true,HKG,Asia Pacific,Hong Kong,143,9.53
168.138.213.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,150,9.53
158.179.176.239,2086,2086,false,SIN,Asia Pacific,Singapore,158,9.51
84.235.163.106,443,443,true,FRA,Europe,Frankfurt,191,9.51
141.147.189.242,2052,2052,false,HKG,Asia Pacific,Hong Kong,146,9.51
141.147.100.163,443,443,true,FRA,Europe,Frankfurt,181,9.51
141.147.189.242,2086,2086,false,HKG,Asia Pacific,Hong Kong,153,9.50
150.230.197.156,2095,2095,false,NRT,Asia Pacific,Tokyo,85,9.50
144.21.39.185,443,443,true,FRA,Europe,Frankfurt,173,9.50
158.101.88.214,2082,2082,false,LAX,North America,Los Angeles,186,9.50
155.248.169.71,2083,2083,true,HKG,Asia Pacific,Hong Kong,159,9.50
138.2.6.15,2086,2086,false,SIN,Asia Pacific,Singapore,149,9.49
150.230.108.135,80,80,false,LAX,North America,Los Angeles,188,9.49
168.138.200.159,2087,2087,true,SIN,Asia Pacific,Singapore,172,9.48
155.248.167.70,2096,2096,true,HKG,Asia Pacific,Hong Kong,162,9.47
141.148.240.133,443,443,true,FRA,Europe,Frankfurt,159,9.47
158.101.69.144,2086,2086,false,SIN,Asia Pacific,Singapore,148,9.47
168.138.205.195,2087,2087,true,NRT,Asia Pacific,Tokyo,79,9.46
130.162.59.185,443,443,true,CDG,Europe,Paris,153,9.45
155.248.168.251,2086,2086,false,NRT,Asia Pacific,Tokyo,77,9.45
132.145.122.95,2086,2086,false,NRT,Asia Pacific,Tokyo,81,9.45
155.248.176.98,2052,2052,false,HKG,Asia Pacific,Hong Kong,152,9.44
150.230.214.218,8880,8880,false,NRT,Asia Pacific,Tokyo,77,9.44
155.248.179.132,8080,8080,false,HKG,Asia Pacific,Hong Kong,149,9.43
138.2.12.32,80,80,false,HKG,Asia Pacific,Hong Kong,148,9.43
